,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
93,19.0,37.0,12.0,0.46,10.0,0.0,0,27,85,206
94,26.7,51.0,16.0,0.38,6.0,0.0,0,27,85,137
95,18.2,54.0,25.0,0.38,3.0,0.34,0,26,85,237
96,24.4,42.0,15.0,0.35,7.11,0.0,0,26,90,298
97,25.1,48.0,16.56,0.42,5.0,1.0,0,26,90,296
98,30.6,43.0,6.0,0.44,6.0,1.0,0,26,91,268
99,36.2,57.0,13.0,0.33,2.0,1.0,1,25,93,184
100,24.1,46.0,23.0,0.24,2.0,1.0,1,24,94,246
101,20.7,41.0,19.0,0.32,4.0,1.0,1,24,94,344
102,17.5,34.0,22.0,0.35,7.0,1.0,0,25,95,19
103,15.3,28.0,9.0,0.76,25.0,1.0,1,25,95,319
104,19.1,34.0,16.0,0.54,15.0,0.0,1,26,88,334
105,20.1,35.0,25.0,0.48,9.0,0.0,1,28,81,344
106,17.2,35.0,31.0,0.34,11.0,1.0,1,30,71,58
107,19.7,38.0,38.0,0.28,4.0,0.0,1,31,67,72
108,11.9,34.0,38.0,0.28,4.0,1.0,1,30,70,73
109,12.5,39.0,34.0,0.3,5.0,1.0,1,30,70,83
110,15.1,43.0,33.0,0.31,5.0,1.0,1,31,64,97
111,12.8,42.0,32.0,0.36,9.0,1.0,1,31,62,106
112,11.4,40.0,25.0,0.44,20.0,1.0,1,26,79,77
113,16.7,53.0,10.0,0.71,32.0,1.0,0,27,78,345
114,22.0,61.0,9.0,0.65,24.0,1.0,0,26,82,337
115,30.0,65.0,18.0,0.55,16.0,1.0,0,25,87,57
116,28.4,61.0,32.0,0.31,7.0,0.0,1,25,95,82
117,24.2,47.0,28.0,0.3,7.0,0.0,1,25,92,309
118,14.3,40.0,27.0,0.38,5.0,0.34,1,25,92,323
119,11.8,39.0,22.0,0.32,7.11,1.0,0,25,92,326
120,12.2,33.0,16.56,0.32,6.0,0.0,1,25,92,347
121,13.4,36.0,15.0,0.29,3.0,0.0,1,25,90,347
122,15.9,46.0,12.0,0.35,6.0,0.0,0,25,91,334
123,23.0,42.0,7.0,0.42,8.0,0.0,0,25,91,317
124,22.3,40.0,7.0,0.37,4.0,0.0,0,24,93,220
125,15.3,45.0,5.0,0.4,4.0,0.0,0,24,94,194
126,23.8,44.0,3.0,0.56,10.0,0.0,0,24,95,320
127,18.9,48.0,4.0,0.71,14.0,0.0,1,25,92,292
128,30.3,51.0,20.0,0.59,16.0,0.0,1,27,83,269
129,23.1,59.0,40.0,0.42,9.0,0.0,1,30,70,69
130,12.5,62.0,45.0,0.36,8.0,0.0,2,30,68,62
131,23.8,57.0,46.0,0.36,9.0,0.0,2,31,64,60
132,26.6,54.0,44.0,0.39,12.0,0.0,2,32,60,64
133,27.6,57.0,43.0,0.35,9.0,0.0,2,32,59,77
134,23.4,48.0,44.0,0.33,4.0,0.0,2,32,59,94
135,24.5,53.0,36.0,0.36,7.0,0.0,1,29,70,114
136,29.4,63.0,36.0,0.37,7.0,0.0,1,31,66,72
137,28.3,61.0,34.0,0.45,9.0,0.0,1,30,71,69
138,30.6,69.0,28.0,0.58,17.0,0.0,0,28,76,68
139,31.5,72.0,16.0,0.77,15.0,0.0,0,27,84,347
140,34.4,79.0,10.0,0.77,18.0,0.0,0,27,84,334
141,35.3,81.0,6.0,0.38,14.0,0.34,0,26,90,292
142,36.9,85.0,5.0,0.79,7.11,0.0,0,26,91,306
143,36.3,82.0,16.56,0.71,11.0,0.0,0,25,92,327
144,33.9,78.0,6.0,0.62,10.0,0.0,0,25,92,322
145,32.3,74.0,2.0,0.6,8.0,0.0,0,25,94,246
146,30.0,69.0,1.0,0.56,7.0,0.0,0,24,95,293
147,31.1,69.0,3.0,0.42,7.0,0.0,1,25,89,348
148,26.6,59.0,5.0,0.36,8.0,0.0,1,25,86,334
149,23.4,52.0,7.0,0.38,8.0,0.0,0,25,83,349
150,21.6,49.0,5.0,0.43,9.0,0.0,0,25,88,350
151,18.8,40.0,7.0,0.55,11.0,0.0,1,25,87,6
152,19.8,42.0,12.0,0.56,8.0,0.0,1,27,84,360
153,30.6,64.0,30.0,0.35,6.0,0.0,2,29,77,358
154,30.3,62.0,44.0,0.38,8.0,0.0,2,30,72,33
155,26.7,54.0,45.0,0.34,7.0,0.0,2,30,70,50
156,27.2,55.0,45.0,0.33,9.0,0.0,2,31,66,49
157,24.0,48.0,44.0,0.32,5.0,0.0,2,30,68,58
158,24.7,50.0,40.0,0.32,5.0,0.0,2,30,68,53
159,23.7,48.0,39.0,0.32,5.0,0.0,2,30,68,59
160,20.3,41.0,36.0,0.36,7.0,0.0,2,30,70,55
161,23.5,50.0,32.0,0.38,8.0,0.0,1,28,76,88
162,26.0,55.0,24.0,0.35,6.0,0.0,2,26,88,211
163,19.0,41.0,20.0,0.4,7.0,0.0,1,26,94,228
164,17.4,38.0,19.0,0.38,7.0,0.34,1,25,96,195
165,17.5,38.0,28.0,0.33,7.11,0.0,1,25,98,276
166,13.8,31.0,16.56,0.32,4.0,0.0,0,24,98,285
167,14.9,34.0,19.0,0.32,4.0,0.0,0,24,98,271
168,12.2,28.0,14.0,0.38,4.0,0.0,0,24,98,233
169,14.9,34.0,11.0,0.36,3.0,0.0,0,24,99,220
170,12.6,28.0,10.0,0.36,2.0,0.0,0,24,99,215
171,17.4,39.0,9.0,0.31,2.0,0.0,0,24,98,248
172,15.5,36.0,9.0,0.4,5.0,0.0,0,24,98,323
173,15.2,35.0,5.0,0.52,7.0,0.0,0,24,97,291
174,17.8,41.0,4.0,0.65,11.0,0.0,0,24,97,324
175,20.2,46.0,3.0,1.34,24.0,0.0,0,25,96,320
176,25.6,57.0,9.0,0.9,21.0,0.0,0,28,85,345
177,26.1,56.0,21.0,0.3,6.0,0.0,1,31,69,96
178,28.9,61.0,24.0,0.2,3.0,0.0,1,31,64,104
179,24.4,49.0,25.0,0.18,3.0,0.0,2,32,59,98
180,21.8,43.0,26.0,0.17,2.0,0.0,2,32,59,83
181,20.7,39.0,25.0,0.19,3.0,0.0,2,31,64,68
182,21.5,43.0,21.0,0.24,6.0,0.0,1,29,78,66
183,22.3,46.0,19.0,0.28,10.0,0.0,1,29,79,62
184,17.8,36.0,16.0,0.26,8.0,0.0,1,31,66,97
185,18.4,39.0,16.0,0.29,8.0,0.0,1,30,69,97
186,21.0,47.0,12.0,0.42,12.0,0.0,0,28,76,99
187,22.4,51.0,11.0,0.38,12.0,0.34,0,26,85,77
188,21.5,49.0,1.0,0.56,7.11,0.0,0,26,91,337
189,22.2,51.0,16.56,0.73,14.0,0.0,0,26,91,334
190,24.9,57.0,1.0,0.71,10.0,0.0,0,25,93,223
191,28.4,65.0,1.0,0.64,11.0,0.0,0,25,93,208
192,29.5,68.0,1.0,0.59,7.0,0.0,0,25,94,236
193,28.2,65.0,1.0,0.38,5.0,0.0,0,25,94,290
194,25.3,58.0,0.0,0.41,4.0,0.0,0,24,95,258
195,23.0,53.0,1.0,0.36,3.0,0.0,0,24,96,247
196,24.3,56.0,2.0,0.36,3.0,0.0,0,24,96,257
197,24.9,57.0,2.0,0.45,5.0,0.0,0,24,95,310
198,24.3,56.0,1.0,0.82,9.0,0.0,0,24,95,63
199,26.5,61.0,1.0,1.25,17.0,1.0,0,24,93,262
200,29.8,67.0,3.0,0.66,14.0,0.0,0,26,87,269
201,34.8,78.0,15.0,0.41,14.0,0.0,0,29,77,187
202,31.4,69.0,24.0,0.25,6.0,0.0,1,29,74,125
203,28.8,63.0,28.0,0.19,4.0,0.0,1,30,71,96
204,24.1,51.0,34.0,0.18,6.0,0.0,1,31,64,74
205,20.0,40.0,33.0,0.19,5.0,0.0,2,32,59,60
206,20.4,41.0,35.0,0.19,3.0,1.0,2,33,58,70
207,20.4,42.0,32.0,0.21,6.0,1.0,1,33,58,63
208,21.0,42.0,31.0,0.26,9.0,1.0,2,32,60,59
209,20.9,42.0,24.0,0.37,14.0,1.0,2,30,70,48
210,24.1,52.0,24.0,0.38,10.0,0.34,1,29,75,89
211,17.0,36.0,25.0,0.3,7.11,1.0,1,27,89,68
212,17.0,38.0,16.56,0.32,10.0,0.0,0,26,93,46
213,16.0,36.0,14.0,0.34,9.0,0.0,0,26,95,290
214,14.4,32.0,12.0,0.34,6.0,0.0,0,25,96,274
215,12.1,27.0,11.0,0.31,4.0,0.0,0,25,95,281
216,11.0,25.0,7.0,0.31,5.0,0.0,0,25,96,2
217,13.3,30.0,5.0,0.4,8.0,0.0,0,25,94,0
218,21.3,48.0,5.0,0.39,7.0,0.0,0,25,94,267
219,14.6,33.0,4.0,0.32,4.0,0.0,0,24,96,300
220,12.0,27.0,2.0,0.45,7.0,0.0,0,24,96,302
221,13.6,31.0,1.0,0.66,11.0,0.0,0,24,96,332
222,18.3,41.0,3.0,0.59,12.0,0.0,0,24,95,355
223,19.8,42.0,6.0,0.57,13.0,0.0,1,25,91,348
224,20.9,43.0,18.0,0.35,8.0,0.0,1,28,81,351
225,21.8,45.0,25.0,0.23,5.0,0.0,1,30,73,24
226,19.8,40.0,28.0,0.18,4.0,0.0,2,31,64,61
227,17.3,32.0,31.0,0.16,4.0,0.0,2,32,61,60
228,14.2,27.0,31.0,0.15,3.0,0.0,2,31,61,76
229,14.5,29.0,24.0,0.17,4.0,0.0,1,31,65,120
230,15.3,32.0,17.0,0.17,4.0,0.0,1,28,82,91
231,13.6,28.0,16.0,0.18,6.0,0.0,1,30,73,84
232,13.6,27.0,13.0,0.24,10.0,0.0,1,30,72,68
233,15.3,33.0,12.0,0.38,10.0,0.34,1,29,75,72
234,12.4,27.0,11.0,0.37,7.11,0.0,0,28,79,82
235,15.4,35.0,16.56,0.5,14.0,0.0,0,27,86,71
236,20.8,48.0,2.0,0.47,12.0,0.0,0,26,90,174
