Unnamed: 0,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
1063,2024-02-14 07:00:00,33.8,67.0,16.56,0.52,17.0,0.34,1.0,25,94,290.0
1064,2024-02-14 08:00:00,30.9,62.0,12.0,0.62,20.0,0.34,1.0,26,90,329.0
1065,2024-02-14 09:00:00,23.9,46.0,22.0,0.31,9.0,0.34,1.0,29,77,100.0
1066,2024-02-14 10:00:00,28.7,58.0,25.0,0.14,4.0,0.34,1.0,30,70,97.0
1067,2024-02-14 11:00:00,26.2,53.0,27.0,0.12,3.0,0.34,2.0,31,61,93.0
1068,2024-02-14 12:00:00,20.2,41.0,27.0,0.11,3.0,0.34,1.0,32,61,90.0
1069,2024-02-14 13:00:00,22.2,45.0,26.0,0.11,2.0,0.34,2.0,32,59,91.0
1070,2024-02-14 14:00:00,16.0,39.0,24.0,0.13,3.0,0.34,1.0,31,69,100.0
1071,2024-02-14 15:00:00,13.3,40.0,22.0,0.15,7.0,0.34,1.0,32,62,111.0
1072,2024-02-14 16:00:00,9.9,36.0,17.0,0.21,9.0,0.34,1.0,28,81,132.0
1073,2024-02-14 17:00:00,7.2,27.0,17.0,0.21,8.0,0.34,1.0,29,75,122.0
1074,2024-02-14 18:00:00,6.5,25.0,16.0,0.32,10.0,0.34,1.0,28,75,126.0
1075,2024-02-14 19:00:00,10.7,35.0,7.0,0.53,17.0,0.34,0.6,27,81,125.0
1076,2024-02-14 20:00:00,18.3,38.0,4.0,0.53,14.0,0.34,0.6,26,87,50.0
1077,2024-02-14 21:00:00,22.4,44.0,2.0,0.94,13.0,0.34,0.6,26,90,283.0
1078,2024-02-14 22:00:00,26.5,52.0,1.0,0.74,12.0,0.34,0.6,26,91,299.0
1079,2024-02-14 23:00:00,27.9,55.0,1.0,0.63,11.0,0.34,0.6,25,91,256.0
1080,2024-02-15 00:00:00,25.8,49.0,2.0,0.38,8.0,0.34,0.6,25,92,240.0
1081,2024-02-15 01:00:00,26.2,55.0,4.0,0.46,6.0,0.34,0.6,25,90,292.0
1082,2024-02-15 02:00:00,27.8,55.0,4.0,0.43,5.0,0.34,0.6,25,91,240.0
1083,2024-02-15 03:00:00,23.8,49.0,3.0,0.31,5.0,0.34,0.6,25,93,240.0
1084,2024-02-15 04:00:00,17.1,45.0,1.0,0.38,7.0,0.34,0.6,25,92,159.0
1085,2024-02-15 05:00:00,13.0,45.0,1.0,0.53,7.11,0.34,0.6,25,92,190.0
1086,2024-02-15 06:00:00,12.4,43.0,16.56,0.72,8.0,1.0,0.6,24,94,304.0
1087,2024-02-15 07:00:00,10.2,39.0,2.0,0.88,12.0,0.34,0.6,25,91,287.0
1088,2024-02-15 08:00:00,15.7,49.0,16.0,0.37,9.0,0.34,0.6,28,76,152.0
1089,2024-02-15 09:00:00,15.7,56.0,24.0,0.21,4.0,0.34,1.0,31,64,89.0
1090,2024-02-15 10:00:00,16.3,50.0,25.0,0.18,3.0,0.34,1.0,31,59,102.0
1091,2024-02-15 11:00:00,18.1,37.0,26.0,0.17,3.0,0.34,1.0,32,56,106.0
1092,2024-02-15 12:00:00,14.3,35.0,26.0,0.17,2.0,0.34,2.0,33,55,99.0
1093,2024-02-15 13:00:00,13.3,32.0,27.0,0.17,2.0,0.34,2.0,33,52,98.0
1094,2024-02-15 14:00:00,13.0,31.0,26.0,0.16,3.0,0.34,2.0,33,52,111.0
1095,2024-02-15 15:00:00,10.4,24.0,25.0,0.23,6.0,0.34,1.0,33,52,117.0
1096,2024-02-15 16:00:00,8.4,23.0,23.0,0.22,7.0,0.34,1.0,33,53,112.0
1097,2024-02-15 17:00:00,6.5,18.0,23.0,0.24,6.0,0.34,1.0,31,57,101.0
1098,2024-02-15 18:00:00,6.5,15.0,17.0,0.32,10.0,0.34,1.0,29,67,115.0
1099,2024-02-15 19:00:00,7.9,22.0,14.0,0.32,10.0,0.34,0.6,28,72,129.0
1100,2024-02-15 20:00:00,8.7,25.0,15.0,0.28,8.0,0.34,0.6,28,74,130.0
1101,2024-02-15 21:00:00,12.5,37.0,14.0,0.29,9.0,0.34,0.6,27,77,74.0
1102,2024-02-15 22:00:00,14.8,55.0,11.0,0.36,9.0,0.34,0.6,27,81,5.0
1103,2024-02-15 23:00:00,20.6,62.0,5.0,0.45,9.0,0.34,0.6,26,84,349.0
1104,2024-02-16 00:00:00,15.9,70.0,3.0,0.52,9.0,0.34,0.6,25,87,352.0
1105,2024-02-16 01:00:00,23.5,66.0,8.0,0.36,6.0,1.0,1.0,25,85,358.0
1106,2024-02-16 02:00:00,28.4,58.0,10.0,0.27,5.0,0.34,1.0,26,86,355.0
1107,2024-02-16 03:00:00,25.9,49.0,5.0,0.38,8.0,0.34,0.6,25,87,334.0
1108,2024-02-16 04:00:00,27.6,53.0,4.0,0.39,7.11,1.0,0.6,25,87,351.0
1109,2024-02-16 05:00:00,22.5,45.0,16.56,0.35,9.0,1.0,1.0,25,85,352.0
1110,2024-02-16 06:00:00,17.2,47.0,4.0,0.44,10.0,1.0,1.0,25,87,354.0
1111,2024-02-16 07:00:00,17.3,46.0,4.0,0.57,15.0,1.0,1.0,26,83,353.0
1112,2024-02-16 08:00:00,25.5,53.0,12.0,0.53,14.0,1.0,0.6,28,76,3.0
1113,2024-02-16 09:00:00,24.6,63.0,25.0,0.24,6.0,0.34,1.0,29,69,91.0
1114,2024-02-16 10:00:00,25.6,53.0,27.0,0.19,7.0,0.34,1.0,31,64,100.0
1115,2024-02-16 11:00:00,24.8,52.0,29.0,0.22,10.0,0.34,2.0,32,57,82.0
1116,2024-02-16 12:00:00,18.6,46.0,33.0,0.23,4.0,1.0,1.0,32,55,109.0
1117,2024-02-16 13:00:00,18.6,34.0,34.0,0.2,3.0,1.0,1.0,33,54,102.0
1118,2024-02-16 14:00:00,14.0,28.0,33.0,0.21,3.0,1.0,2.0,33,55,94.0
1119,2024-02-16 15:00:00,11.7,38.0,28.0,0.24,6.0,1.0,1.0,32,60,96.0
1120,2024-02-16 16:00:00,8.9,30.0,28.0,0.26,7.0,1.0,1.0,32,59,116.0
1121,2024-02-16 17:00:00,12.2,39.0,25.0,0.25,7.0,1.0,1.0,30,64,133.0
1122,2024-02-16 18:00:00,9.1,31.0,19.0,0.3,9.0,1.0,1.0,29,70,130.0
1123,2024-02-16 19:00:00,11.9,45.0,16.0,0.31,10.0,1.0,0.6,28,73,118.0
1124,2024-02-16 20:00:00,9.7,53.0,13.0,0.36,12.0,1.0,0.6,28,76,62.0
1125,2024-02-16 21:00:00,14.5,48.0,12.0,0.31,11.0,1.0,1.0,27,78,2.0
1126,2024-02-16 22:00:00,16.8,50.0,6.0,0.47,11.0,1.0,0.6,26,83,331.0
1127,2024-02-16 23:00:00,24.8,54.0,2.0,0.67,10.0,1.0,0.6,25,88,275.0
1128,2024-02-17 00:00:00,30.5,62.0,2.0,0.59,10.0,1.0,0.6,25,88,345.0
1129,2024-02-17 01:00:00,28.4,69.0,3.0,0.47,10.0,1.0,0.6,25,88,358.0
1130,2024-02-17 02:00:00,32.9,72.0,3.0,0.38,8.0,0.34,0.6,24,89,353.0
1131,2024-02-17 03:00:00,23.8,65.0,1.0,0.44,7.11,1.0,0.6,24,91,269.0
1132,2024-02-17 04:00:00,29.6,60.0,16.56,0.52,6.0,1.0,0.6,24,91,356.0
1133,2024-02-17 05:00:00,24.1,54.0,1.0,0.54,8.0,1.0,0.6,24,91,286.0
1134,2024-02-17 06:00:00,23.3,47.0,16.56,0.51,9.0,1.0,0.6,24,91,189.0
1135,2024-02-17 07:00:00,17.2,49.0,1.0,0.73,10.0,1.0,0.6,24,89,280.0
1136,2024-02-17 08:00:00,26.1,53.0,10.0,0.68,12.0,2.0,0.6,28,76,196.0
1137,2024-02-17 09:00:00,30.4,67.0,23.0,0.54,7.0,5.0,1.0,30,65,130.0
1138,2024-02-17 10:00:00,27.8,64.0,27.0,0.2,6.0,1.0,1.0,31,58,127.0
1139,2024-02-17 11:00:00,23.2,65.0,31.0,0.19,7.0,1.0,1.0,32,52,119.0
1140,2024-02-17 12:00:00,24.6,46.0,33.0,0.19,4.0,1.0,2.0,33,52,135.0
1141,2024-02-17 13:00:00,18.1,38.0,34.0,0.15,3.0,0.34,2.0,32,50,140.0
1142,2024-02-17 14:00:00,16.0,38.0,34.0,0.15,3.0,1.0,1.0,33,48,128.0
1143,2024-02-17 15:00:00,11.9,33.0,33.0,0.16,3.0,1.0,1.0,33,50,125.0
1144,2024-02-17 16:00:00,8.8,31.0,31.0,0.16,4.0,0.34,1.0,32,51,116.0
1145,2024-02-17 17:00:00,13.6,35.0,26.0,0.19,6.0,1.0,1.0,31,53,123.0
1146,2024-02-17 18:00:00,10.5,27.0,19.0,0.29,11.0,1.0,1.0,29,60,114.0
1147,2024-02-17 19:00:00,7.7,28.0,16.0,0.31,12.0,1.0,0.6,28,66,131.0
1148,2024-02-17 20:00:00,12.5,43.0,14.0,0.34,11.0,1.0,0.6,27,73,130.0
1149,2024-02-17 21:00:00,17.7,53.0,4.0,0.63,12.0,1.0,0.6,25,83,270.0
1150,2024-02-17 22:00:00,26.3,52.0,1.0,0.78,13.0,1.0,0.6,25,85,303.0
1151,2024-02-17 23:00:00,30.1,57.0,1.0,0.8,13.0,1.0,0.6,24,86,246.0
1152,2024-02-18 00:00:00,38.7,78.0,1.0,0.69,12.0,1.0,0.6,24,88,247.0
1153,2024-02-18 01:00:00,37.6,76.0,2.0,0.38,10.0,0.34,0.6,24,88,243.0
1154,2024-02-18 02:00:00,36.7,74.0,4.0,0.38,7.11,0.34,0.6,23,89,248.0
1155,2024-02-18 03:00:00,32.9,63.0,16.56,0.29,5.0,0.34,0.6,23,88,259.0
1156,2024-02-18 04:00:00,30.5,60.0,3.0,0.27,4.0,0.34,0.6,23,90,271.0
1157,2024-02-18 05:00:00,23.7,48.0,6.0,0.23,4.0,0.34,0.6,23,89,279.0
1158,2024-02-18 06:00:00,18.1,50.0,3.0,0.27,6.0,0.34,0.6,23,90,288.0
1159,2024-02-18 07:00:00,13.7,42.0,3.0,0.45,8.0,0.34,0.6,24,88,272.0
1160,2024-02-18 08:00:00,19.8,54.0,11.0,0.41,10.0,0.34,1.0,27,77,261.0
1161,2024-02-18 09:00:00,28.6,59.0,25.0,0.17,5.0,0.34,1.0,30,64,78.0
1162,2024-02-18 10:00:00,27.6,58.0,25.0,0.13,3.0,0.34,1.0,31,61,107.0
1163,2024-02-18 11:00:00,23.9,48.0,27.0,0.1,3.0,0.34,2.0,32,54,75.0
1164,2024-02-18 12:00:00,22.1,45.0,25.0,0.11,2.0,0.34,2.0,32,53,76.0
1165,2024-02-18 13:00:00,18.2,35.0,24.0,0.09,2.0,0.34,2.0,32,56,73.0
1166,2024-02-18 14:00:00,13.8,28.0,22.0,0.09,4.0,0.34,2.0,31,59,71.0
1167,2024-02-18 15:00:00,12.4,24.0,21.0,0.1,4.0,0.34,2.0,30,63,71.0
1168,2024-02-18 16:00:00,10.0,32.0,20.0,0.12,4.0,0.34,1.0,30,64,74.0
1169,2024-02-18 17:00:00,10.1,35.0,20.0,0.16,5.0,0.34,1.0,29,63,73.0
1170,2024-02-18 18:00:00,7.9,27.0,16.0,0.22,8.0,0.34,1.0,29,67,96.0
1171,2024-02-18 19:00:00,9.4,29.0,12.0,0.27,8.0,0.34,1.0,27,79,267.0
1172,2024-02-18 20:00:00,17.9,37.0,7.0,0.38,11.0,0.34,0.6,26,86,311.0
1173,2024-02-18 21:00:00,23.2,49.0,7.0,0.31,11.0,0.34,1.0,26,85,320.0
1174,2024-02-18 22:00:00,25.8,50.0,7.0,0.29,8.0,0.34,1.0,26,87,279.0
1175,2024-02-18 23:00:00,23.9,46.0,6.0,0.25,6.0,0.34,0.6,26,87,294.0
1176,2024-02-19 00:00:00,22.9,46.0,5.0,0.38,6.0,0.34,0.6,26,87,303.0
1177,2024-02-19 01:00:00,18.1,39.0,3.0,0.38,7.11,0.34,0.6,25,90,274.0
1178,2024-02-19 02:00:00,21.8,43.0,16.56,0.38,6.0,0.34,0.6,25,90,348.0
1179,2024-02-19 03:00:00,20.2,39.0,4.0,0.35,8.0,0.34,0.6,25,89,329.0
1180,2024-02-19 04:00:00,17.3,34.0,3.0,0.34,5.0,0.34,0.6,24,92,252.0
1181,2024-02-19 05:00:00,19.8,38.0,2.0,0.37,5.0,0.34,0.6,24,92,254.0
1182,2024-02-19 06:00:00,15.3,34.0,1.0,0.44,6.0,0.34,1.0,24,93,242.0
1183,2024-02-19 07:00:00,16.7,34.0,3.0,0.56,11.0,0.34,0.6,25,89,251.0
1184,2024-02-19 08:00:00,24.4,54.0,12.0,0.36,6.0,0.34,1.0,28,77,239.0
1185,2024-02-19 09:00:00,30.3,56.0,20.0,0.21,3.0,0.34,1.0,30,66,138.0
1186,2024-02-19 10:00:00,25.7,45.0,22.0,0.22,4.0,0.34,1.0,32,62,136.0
1187,2024-02-19 11:00:00,19.5,44.0,21.0,0.21,3.0,0.34,1.0,33,58,95.0
1188,2024-02-19 12:00:00,22.7,34.0,22.0,0.18,2.0,0.34,1.0,34,51,104.0
1189,2024-02-19 13:00:00,17.1,30.0,21.0,0.17,2.0,0.34,1.0,35,49,113.0
1190,2024-02-19 14:00:00,12.7,24.0,21.0,0.17,3.0,0.34,1.0,35,49,112.0
1191,2024-02-19 15:00:00,10.0,21.0,19.0,0.21,5.0,0.34,1.0,34,49,119.0
1192,2024-02-19 16:00:00,8.5,17.0,19.0,0.23,5.0,0.34,1.0,34,50,109.0
1193,2024-02-19 17:00:00,7.4,14.0,18.0,0.24,6.0,0.34,1.0,33,53,130.0
1194,2024-02-19 18:00:00,6.1,12.0,15.0,0.28,8.0,0.34,1.0,30,63,133.0
1195,2024-02-19 19:00:00,4.7,12.0,14.0,0.27,6.0,0.34,1.0,29,71,122.0
1196,2024-02-19 20:00:00,5.5,20.0,12.0,0.29,7.0,0.34,0.6,28,76,170.0
1197,2024-02-19 21:00:00,9.5,31.0,5.0,0.42,9.0,0.34,0.6,27,83,257.0
1198,2024-02-19 22:00:00,18.1,34.0,5.0,0.44,8.0,0.34,0.6,27,84,226.0
1199,2024-02-19 23:00:00,14.7,29.0,3.0,0.38,8.0,0.34,0.6,26,86,237.0
1200,2024-02-20 00:00:00,20.0,36.0,3.0,0.45,7.11,0.34,0.6,26,87,299.0
1201,2024-02-20 01:00:00,23.4,56.0,16.56,0.39,5.0,1.0,0.6,25,86,234.0
1202,2024-02-20 02:00:00,22.4,41.0,3.0,0.34,3.0,1.0,0.6,25,88,240.0
1203,2024-02-20 03:00:00,18.1,33.0,4.0,0.29,3.0,1.0,0.6,25,87,286.0
1204,2024-02-20 04:00:00,15.7,32.0,3.0,0.31,3.0,1.0,0.6,24,87,268.0
1205,2024-02-20 05:00:00,14.1,25.0,1.0,0.43,5.0,1.0,0.6,24,90,290.0
1206,2024-02-20 06:00:00,12.6,27.0,16.56,0.46,6.0,1.0,0.6,24,90,266.0
1207,2024-02-20 07:00:00,18.6,32.0,3.0,0.52,9.0,1.0,0.6,25,84,238.0
1208,2024-02-20 08:00:00,14.3,31.0,11.0,0.4,6.0,1.0,1.0,29,74,293.0
1209,2024-02-20 09:00:00,23.1,50.0,19.0,0.22,4.0,0.34,1.0,30,67,201.0
1210,2024-02-20 10:00:00,17.2,44.0,23.0,0.22,3.0,0.34,1.0,32,61,162.0
1211,2024-02-20 11:00:00,16.4,33.0,24.0,0.21,3.0,0.34,1.0,33,55,117.0
1212,2024-02-20 12:00:00,13.0,31.0,23.0,0.21,3.0,0.34,1.0,34,55,111.0
1213,2024-02-20 13:00:00,14.0,24.0,21.0,0.19,2.0,0.34,2.0,35,52,85.0
1214,2024-02-20 14:00:00,10.4,28.0,20.0,0.19,2.0,0.34,2.0,34,53,94.0
1215,2024-02-20 15:00:00,8.5,22.0,19.0,0.22,6.0,0.34,1.0,33,56,90.0
1216,2024-02-20 16:00:00,7.3,26.0,19.0,0.25,6.0,0.34,1.0,32,58,84.0
1217,2024-02-20 17:00:00,6.3,20.0,17.0,0.29,9.0,0.34,1.0,31,64,93.0
1218,2024-02-20 18:00:00,5.9,25.0,14.0,0.3,9.0,0.34,1.0,30,69,102.0
1219,2024-02-20 19:00:00,8.2,30.0,15.0,0.4,10.0,0.34,0.6,29,72,132.0
1220,2024-02-20 20:00:00,8.8,31.0,15.0,0.32,8.0,1.0,0.6,28,75,154.0
1221,2024-02-20 21:00:00,7.7,25.0,6.0,0.47,10.0,0.34,0.6,26,84,217.0
1222,2024-02-20 22:00:00,6.7,29.0,5.0,0.38,9.0,0.34,0.6,26,86,267.0
1223,2024-02-20 23:00:00,14.5,39.0,3.0,0.51,7.11,1.0,0.6,26,89,249.0
1224,2024-02-21 00:00:00,18.8,40.0,16.56,0.38,4.0,0.34,0.6,25,90,241.0
1225,2024-02-21 01:00:00,16.0,37.0,6.0,0.21,3.0,0.34,1.0,25,90,238.0
1226,2024-02-21 02:00:00,14.5,31.0,5.0,0.18,2.0,0.34,0.6,25,89,245.0
1227,2024-02-21 03:00:00,16.0,30.0,4.0,0.18,3.0,0.34,0.6,24,90,238.0
1228,2024-02-21 04:00:00,15.0,22.0,6.0,0.18,3.0,0.34,0.6,24,87,246.0
1229,2024-02-21 05:00:00,11.5,19.0,5.0,0.26,5.0,0.34,0.6,24,87,209.0
1230,2024-02-21 06:00:00,9.3,23.0,3.0,0.31,7.0,0.34,0.6,24,88,246.0
1231,2024-02-21 07:00:00,7.8,25.0,4.0,0.44,9.0,0.34,1.0,25,86,253.0
1232,2024-02-21 08:00:00,6.3,23.0,16.0,0.27,5.0,0.34,1.0,28,76,281.0
1233,2024-02-21 09:00:00,19.8,46.0,24.0,0.18,4.0,0.34,1.0,30,69,222.0
1234,2024-02-21 10:00:00,21.6,39.0,29.0,0.16,3.0,0.34,1.0,32,58,145.0
1235,2024-02-21 11:00:00,16.2,40.0,30.0,0.15,3.0,0.34,1.0,32,54,173.0
1236,2024-02-21 12:00:00,11.9,29.0,27.0,0.15,3.0,0.34,1.0,34,51,97.0
1237,2024-02-21 13:00:00,8.8,23.0,26.0,0.14,2.0,0.34,1.0,35,49,100.0
1238,2024-02-21 14:00:00,7.1,25.0,26.0,0.13,2.0,0.34,1.0,35,48,101.0
1239,2024-02-21 15:00:00,6.2,19.0,24.0,0.15,4.0,0.34,2.0,35,48,100.0
1240,2024-02-21 16:00:00,4.9,23.0,22.0,0.15,4.0,0.34,1.0,34,50,103.0
1241,2024-02-21 17:00:00,4.5,26.0,22.0,0.18,5.0,0.34,1.0,32,52,99.0
1242,2024-02-21 18:00:00,4.5,21.0,18.0,0.22,7.0,0.34,1.0,30,61,109.0
1243,2024-02-21 19:00:00,3.7,26.0,17.0,0.2,6.0,0.34,1.0,29,68,129.0
1244,2024-02-21 20:00:00,3.2,20.0,17.0,0.18,6.0,0.34,0.6,29,71,145.0
1245,2024-02-21 21:00:00,4.3,23.0,8.0,0.38,10.0,0.34,0.6,27,78,201.0
1246,2024-02-21 22:00:00,5.5,24.0,5.0,0.46,7.11,1.0,0.6,26,82,268.0
1247,2024-02-21 23:00:00,9.5,26.0,16.56,0.4,8.0,0.34,0.6,26,83,238.0
1248,2024-02-22 00:00:00,11.5,36.0,6.0,0.35,5.0,0.34,1.0,25,85,242.0
1249,2024-02-22 01:00:00,10.8,34.0,7.0,0.25,3.0,1.0,0.6,25,85,240.0
1250,2024-02-22 02:00:00,11.7,34.0,7.0,0.26,3.0,0.34,1.0,25,87,237.0
1251,2024-02-22 03:00:00,14.8,34.0,6.0,0.2,3.0,0.34,1.0,25,86,240.0
1252,2024-02-22 04:00:00,15.2,29.0,7.0,0.19,3.0,0.34,0.6,25,85,233.0
1253,2024-02-22 05:00:00,11.8,23.0,5.0,0.23,5.0,0.34,0.6,25,86,216.0
1254,2024-02-22 06:00:00,9.6,20.0,3.0,0.39,9.0,0.34,0.6,25,86,217.0
1255,2024-02-22 07:00:00,7.1,18.0,6.0,0.46,10.0,0.34,0.6,25,83,255.0
1256,2024-02-22 08:00:00,13.8,30.0,19.0,0.24,5.0,0.34,1.0,28,74,243.0
1257,2024-02-22 09:00:00,15.3,43.0,25.0,0.17,4.0,0.34,1.0,30,66,229.0
1258,2024-02-22 10:00:00,19.0,37.0,30.0,0.16,3.0,0.34,1.0,32,57,163.0
1259,2024-02-22 11:00:00,14.5,43.0,35.0,0.16,3.0,0.34,1.0,33,55,169.0
1260,2024-02-22 12:00:00,15.2,33.0,37.0,0.17,5.0,0.34,1.0,34,51,100.0
1261,2024-02-22 13:00:00,11.1,26.0,31.0,0.15,2.0,0.34,2.0,35,49,83.0
1262,2024-02-22 14:00:00,8.4,23.0,28.0,0.15,3.0,0.34,1.0,35,48,100.0
1263,2024-02-22 15:00:00,6.7,23.0,26.0,0.15,5.0,0.34,2.0,35,46,79.0
1264,2024-02-22 16:00:00,5.2,18.0,21.0,0.16,7.0,0.34,1.0,34,48,97.0
1265,2024-02-22 17:00:00,9.0,17.0,21.0,0.18,7.0,0.34,1.0,33,52,98.0
1266,2024-02-22 18:00:00,7.9,15.0,16.0,0.28,10.0,0.34,1.0,30,61,122.0
1267,2024-02-22 19:00:00,5.9,12.0,16.0,0.28,10.0,0.34,0.6,29,67,134.0
1268,2024-02-22 20:00:00,4.5,14.0,14.0,0.38,10.0,0.34,0.6,28,71,156.0
1269,2024-02-22 21:00:00,4.2,19.0,6.0,0.58,7.11,0.34,0.6,27,80,240.0
1270,2024-02-22 22:00:00,9.7,32.0,16.56,0.63,10.0,0.34,0.6,26,83,262.0
1271,2024-02-22 23:00:00,12.7,36.0,4.0,0.51,9.0,0.34,0.6,25,85,249.0
1272,2024-02-23 00:00:00,15.5,36.0,3.0,0.44,7.0,0.34,0.6,25,88,247.0
1273,2024-02-23 01:00:00,20.3,45.0,5.0,0.29,4.0,0.34,0.6,24,89,253.0
1274,2024-02-23 02:00:00,16.0,37.0,5.0,0.23,3.0,0.34,0.6,24,89,250.0
1275,2024-02-23 03:00:00,13.9,28.0,5.0,0.22,4.0,0.34,0.6,24,89,241.0
1276,2024-02-23 04:00:00,15.5,29.0,5.0,0.21,3.0,0.34,0.6,23,89,244.0
1277,2024-02-23 05:00:00,11.5,25.0,7.0,0.26,5.0,0.34,0.6,23,85,340.0
1278,2024-02-23 06:00:00,8.8,22.0,1.0,0.52,9.0,1.0,0.6,23,88,333.0
1279,2024-02-23 07:00:00,7.1,30.0,1.0,0.7,11.0,1.0,0.6,24,87,269.0
1280,2024-02-23 08:00:00,6.4,33.0,12.0,0.41,12.0,1.0,1.0,28,69,355.0
1281,2024-02-23 09:00:00,15.5,58.0,23.0,0.17,5.0,0.34,1.0,31,61,88.0
1282,2024-02-23 10:00:00,16.5,42.0,23.0,0.15,4.0,0.34,1.0,32,56,98.0
1283,2024-02-23 11:00:00,12.8,31.0,23.0,0.14,3.0,0.34,1.0,33,53,80.0
1284,2024-02-23 12:00:00,12.8,24.0,22.0,0.13,2.0,0.34,1.0,34,51,76.0
1285,2024-02-23 13:00:00,10.6,25.0,21.0,0.11,2.0,0.34,1.0,34,48,78.0
1286,2024-02-23 14:00:00,7.8,19.0,19.0,0.12,5.0,0.34,2.0,35,48,71.0
1287,2024-02-23 15:00:00,5.7,15.0,19.0,0.16,6.0,0.34,2.0,34,50,70.0
1288,2024-02-23 16:00:00,4.3,12.0,18.0,0.17,6.0,0.34,2.0,33,50,83.0
1289,2024-02-23 17:00:00,3.5,13.0,18.0,0.2,6.0,0.34,1.0,32,52,93.0
1290,2024-02-23 18:00:00,3.3,11.0,17.0,0.27,9.0,0.34,1.0,30,60,88.0
1291,2024-02-23 19:00:00,2.7,9.0,14.0,0.38,13.0,0.34,1.0,29,66,77.0
1292,2024-02-23 20:00:00,2.4,15.0,12.0,0.3,7.11,0.34,1.0,28,70,72.0
1293,2024-02-23 21:00:00,2.1,27.0,16.56,0.27,10.0,0.34,1.0,28,73,68.0
1294,2024-02-23 22:00:00,3.0,28.0,2.0,0.5,14.0,0.34,0.6,26,80,350.0
1295,2024-02-23 23:00:00,4.1,33.0,2.0,0.49,11.0,0.34,0.6,25,83,353.0
1296,2024-02-24 00:00:00,7.4,38.0,1.0,0.53,10.0,0.34,0.6,25,86,343.0
1297,2024-02-24 01:00:00,11.4,40.0,1.0,0.66,8.0,0.34,0.6,24,88,264.0
1298,2024-02-24 02:00:00,19.2,49.0,1.0,0.59,8.0,0.34,0.6,24,89,263.0
1299,2024-02-24 03:00:00,25.1,50.0,1.0,0.45,8.0,0.34,0.6,24,89,270.0
1300,2024-02-24 04:00:00,24.2,40.0,1.0,0.44,6.0,52.0,0.6,23,90,250.0
1301,2024-02-24 05:00:00,20.2,33.0,1.0,0.41,7.0,16.0,0.6,23,89,292.0
1302,2024-02-24 06:00:00,15.3,29.0,1.0,0.58,9.0,0.34,0.6,23,90,184.0
1303,2024-02-24 07:00:00,15.5,32.0,2.0,0.71,11.0,0.34,0.6,24,86,259.0
1304,2024-02-24 08:00:00,17.6,40.0,12.0,0.54,12.0,1.0,0.6,29,69,62.0
1305,2024-02-24 09:00:00,24.6,50.0,19.0,0.18,7.0,0.34,1.0,31,59,127.0
1306,2024-02-24 10:00:00,22.4,36.0,21.0,0.16,6.0,0.34,1.0,32,54,119.0
1307,2024-02-24 11:00:00,17.2,28.0,21.0,0.17,6.0,0.34,1.0,33,50,106.0
1308,2024-02-24 12:00:00,12.5,26.0,20.0,0.18,8.0,0.34,1.0,34,47,105.0
1309,2024-02-24 13:00:00,9.4,20.0,19.0,0.23,10.0,0.34,2.0,35,44,90.0
1310,2024-02-24 14:00:00,7.8,21.0,20.0,0.2,9.0,0.34,2.0,35,45,99.0
1311,2024-02-24 15:00:00,6.8,20.0,25.0,0.25,8.0,0.34,2.0,34,46,88.0
1312,2024-02-24 16:00:00,5.2,17.0,22.0,0.27,7.0,0.34,1.0,33,48,115.0
1313,2024-02-24 17:00:00,13.7,26.0,17.0,0.38,12.0,0.34,1.0,32,53,103.0
1314,2024-02-24 18:00:00,10.3,21.0,16.0,0.38,13.0,0.34,1.0,30,62,81.0
1315,2024-02-24 19:00:00,11.9,24.0,12.0,0.64,7.11,0.34,0.6,29,67,89.0
1316,2024-02-24 20:00:00,8.6,33.0,16.56,0.55,17.0,0.34,1.0,29,69,73.0
1317,2024-02-24 21:00:00,9.5,33.0,10.0,0.59,19.0,0.34,1.0,28,72,68.0
1318,2024-02-24 22:00:00,8.2,44.0,8.0,0.59,14.0,0.34,1.0,27,76,15.0
1319,2024-02-24 23:00:00,6.6,38.0,5.0,0.54,11.0,0.34,0.6,26,80,349.0
1320,2024-02-25 00:00:00,16.4,41.0,5.0,0.51,10.0,0.34,0.6,26,82,300.0
1321,2024-02-25 01:00:00,22.4,45.0,4.0,0.39,8.0,0.34,0.6,26,84,214.0
1322,2024-02-25 02:00:00,21.4,44.0,7.0,0.31,8.0,0.34,0.6,26,83,295.0
1323,2024-02-25 03:00:00,18.1,37.0,7.0,0.28,5.0,0.34,0.6,25,87,267.0
1324,2024-02-25 04:00:00,16.7,31.0,6.0,0.28,4.0,0.34,0.6,25,88,211.0
1325,2024-02-25 05:00:00,13.1,30.0,2.0,0.38,7.0,0.34,0.6,25,87,243.0
1326,2024-02-25 06:00:00,10.1,29.0,1.0,0.48,9.0,0.34,0.6,25,88,4.0
1327,2024-02-25 07:00:00,11.4,34.0,3.0,0.51,9.0,0.34,0.6,26,85,286.0
1328,2024-02-25 08:00:00,20.7,39.0,14.0,0.32,7.0,0.34,0.6,29,71,112.0
1329,2024-02-25 09:00:00,20.5,45.0,22.0,0.17,3.0,0.34,1.0,31,61,122.0
1330,2024-02-25 10:00:00,15.8,40.0,22.0,0.15,3.0,0.34,1.0,32,57,134.0
